MSGTYPE,ORDERID,SENDINGTIME,CLIENTID,SYMBOL,SIDE,ORDQTY,PRICE,ROUTE,MAX_PARTICIPATION_RATE,AUCTION_ENABLED,DISABLE_OFF_EXCHANGE,START_TIME,END_TIME,STYLE,EXTENDED_REPORTING,IWOULD_PRICE,CUMQTY,TAG0,TAG6,TAG20,TAG3,SNP_INSIDE_BID,SNP_INSIDE_ASK,TAG4,TAG5,TAG7,TAG8,TRANSACTTIME,TRADE_STRATEGY,EXPERT_IWOULD_LIMIT_PRICE,AUTOTRADER_ELIGIBLE,EXPERT_MAX_DARK_EXPOSURE,PCT_VOLUME_CONSTRAINT,INCLUDE_CLOSE,MINQTY,AUCTION_TYPE,EXPERT_CLIPSIZE_SCALE,EXPERT_FLOATING_LIMIT_VALUE_BPS,FLOATING_LIMIT,RISK_ACCEPTANCE_PARAMETER,URGENCY,SNP_VOLUME_OE,SNP_TRADE_COUNT_OE,SNP_LAST_TRADE_SIZE_OE,SNP_LAST_TRADE_PRICE_OE,SNP_INSIDE_BID_SIZE,SNP_INSIDE_ASK_SIZE,SNP_HIGH
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.255 LON","HM49","","","","","","","","","","","","","","516365","","","","","","","","","","","2015-09-17 11:31:29.220 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.496 LON","HM49","","","","","","","","","","","","","","517671","","","","","","","","","","","2015-09-17 11:31:29.495 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:31:29.534 LON","HM49","","","","","","","","","","","","","","518076","","","","","","","","","","","2015-09-17 11:31:29.512 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:32:00.160 LON","","","","","","","","","","","","","","","","Max:22248 shares Urgency:Highest STL:5.22292 Liquidity:LIQUID QteSz:[50th=7,386]","22248","","","","","Limit Price: 5.21500  Lim Px Text: ClientLim: 5.215   Quote trigger: 0.0   DarkLim: ClientLim: 5.215 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y",""," IWouldDest(100.00%) 0 of 826435 . Average px: 0.0000","","","","","","","","","","","","","","","","","","","","","",""
"ROUTE_REPLACE","2150916006573438","2015-09-17 11:32:15.738 LON","","","","","5.22","","","","","","","SUPER","","","","","","","","5.216","5.218","","","","","","","","","","","","","","","","","","","13599499","8409","500","5.216","41308","12085","5.218"
"ROUTE_REPLACE_ACK","2150916006573438","2015-09-17 11:32:15.773 LON","HM49","","","","5.22","","","","","","","SUPER-AGGRESSIVE","","","","","","","","","","","","","","2015-09-17 11:32:15.772 LON","","","","0.00","","","","","","","","","","","","","","","",""
"ROUTE_INFO","2150916006573438","2015-09-17 11:32:15.779 LON","","","","","","","","","","","","","","","","Max:22248 shares Urgency:Highest STL:5.22492 Liquidity:LIQUID QteSz:[50th=7,386]","22248","","","","","Limit Price: 5.21500  Lim Px Text: ClientLim: 5.215   Quote trigger: 0.0   DarkLim: ClientLim: 5.215 AucState:COMPLETEAucType:OPEN ValidQuote:Y Cons:Y","E6"," IWouldDest(100.00%) 0 of 826435 . Average px: 0.0000","","","COBRA","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:32:15.834 LON","HM49","","","","","","","","","","","","","","521192","","","","","5.216","5.218","","","","","2015-09-17 11:32:15.833 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:32:15.834 LON","HM49","","","","","","","","","","","","","","522683","","","","","5.216","5.218","","","","","2015-09-17 11:32:15.833 LON","","","","","","","","","","","","","","","","","","","",""
"ROUTE_EXECUTION","2150916006573438","2015-09-17 11:32:15.840 LON","HM49","","Buy","2268","","","","","","","","","","","522757","","","","","","","","","","","2015-09-17 11:32:15.838 LON","","","","","","","","","","","","","","","","","","","",""
